Date,Open,High,Low,Close,Volume,Adj Close
5/20/2016,15.1,15.42,15.07,15.37,25836200,15.37
5/19/2016,15.1,15.35,15.09,15.19,20652500,15.19
5/18/2016,15.22,15.56,15.06,15.13,47165000,15.13
5/17/2016,15.45,15.58,15.17,15.35,30750900,15.35
5/16/2016,15,15.49,14.88,15.48,42195200,15.48
5/13/2016,15.31,15.52,14.95,15.06,44987100,15.06
5/12/2016,15.37,15.65,15.03,15.3,49610600,15.3
5/11/2016,15.3,15.69,15.14,15.43,99794200,15.43
5/10/2016,14.5,15.44,14.48,15.27,80760200,15.27
5/9/2016,14.42,14.75,14.25,14.59,41753200,14.59
5/6/2016,15,15.03,14.52,14.55,54405500,14.55
5/5/2016,15.21,15.55,15.16,15.39,45182400,14.94
5/4/2016,15.4,15.47,15.1,15.21,52710700,14.76526
5/3/2016,15.1,15.63,15.07,15.39,97930400,14.94
5/2/2016,15.03,15.03,15.03,15.03,0,14.59053
4/29/2016,14.7,15.26,14.67,15.03,94620000,14.59053
4/28/2016,14.42,14.77,14.42,14.64,59812400,14.21193
4/27/2016,14.2,14.53,14.16,14.39,30558200,13.96924
4/26/2016,14.17,14.29,14.08,14.2,15435600,13.7848
4/25/2016,14.21,14.21,14.01,14.19,15448600,13.77509
4/22/2016,14.06,14.21,14.01,14.19,19894800,13.77509
4/21/2016,14.14,14.21,14.06,14.07,25544200,13.6586
4/20/2016,14.53,14.67,13.98,14.13,67410200,13.71684
4/19/2016,14.46,14.54,14.41,14.49,27094600,14.06632
4/18/2016,14.54,14.54,14.36,14.39,25104400,13.96924
4/15/2016,14.69,14.69,14.51,14.56,27174100,14.13427
4/14/2016,14.56,14.68,14.52,14.61,23571200,14.18281
4/13/2016,14.5,14.84,14.4,14.49,78324700,14.06632
4/12/2016,14.52,14.54,14.37,14.44,21092700,14.01778
4/11/2016,14.49,14.58,14.43,14.52,33155400,14.09544
4/8/2016,14.43,14.44,14.23,14.34,27789100,13.9207
4/7/2016,14.71,14.81,14.43,14.44,33672700,14.01778
4/6/2016,14.69,14.78,14.55,14.65,36698700,14.22164
4/5/2016,14.45,14.83,14.36,14.7,61705600,14.27018
4/4/2016,14.47,14.47,14.47,14.47,0,14.0469
